Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT
34,Keita Bates-Diop,SF,28,BRK,14,0,4.9,0.6,1.1,.500,0.1,0.4,.200,0.5,0.8,.636,.531,0.4
35,Nicolas Batum,PF,35,TOT,60,38,25.5,1.9,4.3,.453,1.2,3.1,.395,0.7,1.2,.606,.596,0.3
35,Nicolas Batum,PF,35,LAC,3,0,18.0,1.0,2.7,.375,0.7,2.3,.286,0.3,0.3,1.000,.500,0.0
35,Nicolas Batum,PF,35,PHI,57,38,25.9,2.0,4.4,.456,1.2,3.1,.399,0.7,1.2,.600,.599,0.3
36,Darius Bazley,PF,23,TOT,9,0,16.9,2.0,3.3,.600,0.2,0.9,.250,1.8,2.4,.727,.633,1.1
36,Darius Bazley,PF,23,PHI,3,0,3.3,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0
36,Darius Bazley,PF,23,UTA,6,0,23.7,3.0,4.8,.621,0.3,1.3,.250,2.7,3.5,.762,.655,1.7
37,Bradley Beal,SG,30,PHO,53,53,33.3,7.1,13.9,.513,1.9,4.4,.430,5.2,9.4,.552,.582,2.1
38,Malik Beasley,SG,27,MIL,79,77,29.6,4.1,9.1,.443,2.8,6.9,.413,1.2,2.3,.533,.598,0.3
39,MarJon Beauchamp,SF,23,MIL,48,1,12.7,1.7,3.5,.488,0.6,1.6,.400,1.1,1.9,.560,.578,0.4
40,Jules Bernard,SG,24,WAS,19,0,7.8,1.5,3.4,.453,0.6,1.5,.379,0.9,1.8,.514,.539,0.3
41,Dāvis Bertāns,PF,31,TOT,43,1,15.7,2.1,5.4,.393,1.8,4.7,.380,0.4,0.8,.471,.556,0.7
41,Dāvis Bertāns,PF,31,OKC,15,0,6.1,0.7,1.7,.385,0.7,1.6,.417,0.0,0.1,.000,.577,0.9
41,Dāvis Bertāns,PF,31,CHO,28,1,20.8,2.9,7.4,.394,2.4,6.3,.375,0.6,1.1,.500,.553,0.6
42,Patrick Beverley,PG,35,TOT,73,13,20.0,2.2,5.2,.417,0.8,2.5,.337,1.3,2.7,.490,.497,1.0
42,Patrick Beverley,PG,35,PHI,47,5,19.6,2.2,5.1,.432,0.7,2.3,.321,1.5,2.8,.523,.504,1.1
42,Patrick Beverley,PG,35,MIL,26,8,20.9,2.1,5.3,.391,1.0,2.8,.361,1.1,2.5,.424,.486,0.9
43,Saddiq Bey,SF,24,ATL,63,51,32.7,4.6,11.1,.416,1.8,5.7,.316,2.8,5.4,.522,.497,2.7
44,Goga Bitadze,C,24,ORL,62,33,15.4,2.0,3.4,.603,0.0,0.2,.143,2.0,3.1,.636,.608,0.9
45,Onuralp Bitim,SG,24,CHI,23,1,11.7,1.4,3.7,.381,0.5,1.9,.273,0.9,1.7,.500,.452,0.2
46,Bismack Biyombo,C,31,TOT,40,27,19.8,1.9,3.3,.565,0.0,0.0,,1.9,3.3,.565,.565,0.7
46,Bismack Biyombo,C,31,MEM,30,27,23.9,2.2,4.0,.563,0.0,0.0,,2.2,4.0,.563,.563,0.7
46,Bismack Biyombo,C,31,OKC,10,0,7.3,0.7,1.2,.583,0.0,0.0,,0.7,1.2,.583,.583,0.4
47,Anthony Black,PG,20,ORL,69,33,16.9,1.7,3.6,.466,0.5,1.4,.394,1.1,2.2,.510,.540,0.7
48,Leaky Black,SF,24,CHO,26,3,10.9,1.0,2.0,.481,0.3,0.8,.450,0.6,1.2,.500,.567,0.4
49,Buddy Boeheim,SF,24,DET,10,0,8.4,0.9,2.9,.310,0.8,2.5,.320,0.1,0.4,.250,.448,0.8
50,Bogdan Bogdanović,SG,31,ATL,79,33,30.4,6.0,13.9,.428,3.0,8.1,.374,2.9,5.8,.503,.537,1.9
51,Bojan Bogdanović,SF-PF,34,TOT,57,27,25.9,5.4,11.9,.454,2.3,5.9,.398,3.1,6.1,.507,.551,2.1
51,Bojan Bogdanović,PF,34,DET,28,27,32.9,7.1,15.2,.468,3.1,7.4,.415,4.0,7.8,.518,.569,2.9
51,Bojan Bogdanović,SF,34,NYK,29,0,19.2,3.8,8.8,.430,1.6,4.4,.370,2.2,4.4,.488,.521,1.2
52,Bol Bol,PF,24,PHO,43,0,10.9,2.2,3.5,.616,0.5,1.2,.423,1.7,2.3,.717,.689,0.3
53,Marques Bolden,C,25,TOT,11,2,11.0,1.5,2.3,.680,0.0,0.1,.000,1.5,2.2,.708,.680,0.3
53,Marques Bolden,C,25,MIL,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0
53,Marques Bolden,C,25,CHO,9,2,13.1,1.9,2.8,.680,0.0,0.1,.000,1.9,2.7,.708,.680,0.3
54,Devin Booker,PG,27,PHO,68,68,36.0,9.4,19.2,.492,2.2,6.1,.364,7.2,13.0,.552,.550,6.0
55,Brandon Boston Jr.,SF,22,LAC,32,0,10.8,2.0,5.0,.404,0.4,1.6,.269,1.6,3.4,.468,.447,0.7
56,Chris Boucher,PF,31,TOR,50,0,14.1,2.2,4.3,.507,0.6,1.9,.330,1.6,2.5,.642,.578,1.4
57,James Bouknight,SG,23,CHO,14,0,5.8,1.3,2.9,.439,0.9,2.1,.433,0.4,0.8,.455,.598,0.1
58,Jamaree Bouyea,PG,24,TOT,9,0,10.6,1.1,3.1,.357,0.1,1.0,.111,1.0,2.1,.474,.375,0.0
58,Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,.238,0.0,1.3,.000,0.8,2.2,.385,.238,0.0
58,Jamaree Bouyea,PG,24,SAS,3,0,12.7,1.7,2.3,.714,0.3,0.3,1.000,1.3,2.0,.667,.786,0.0
